,n,p,k,n_hat | Brute,p_hat | Brute,n_hat | Differential Evolution,p_hat | Differential Evolution,n_hat | Analytical (without bias correction),p_hat | Analytical (without bias correction),n_hat | Analytical (with bias correction),p_hat | Analytical (with bias correction)
0,20.0,0.1,10.0,5.921378895317539,0.40531066181448283,5.921402949895242,0.405309483689972,4.996785588522021,0.48030878201237487,5.489016154006553,0.43723682581043005
1,20.0,0.1,100.0,6.981749326484102,0.2835964810032473,26.767060374986613,0.07427637338571103,5.996826468928797,0.33017463657801727,6.36240228747495,0.31120320761512293
2,20.0,0.1,1000.0,18.286390979504482,0.10838659861466729,38.32563044603961,0.0516873544893901,7.154588824822916,0.27702500430540905,7.4965920584214105,0.2643868019700352
3,20.0,0.1,10000.0,16.759967768577916,0.11838924826629994,351.51196081134003,0.005655965108277372,8.129211181035187,0.24408272288816696,8.456971291285997,0.23462300292357685
4,20.0,0.2,10.0,10.238007278958555,0.4297712704142318,10.167458221836682,0.4346652791531721,8.023918053995846,0.5483605353881744,9.868388823753035,0.44586812280939714
5,20.0,0.2,100.0,10.397232159585101,0.38375601331263287,35.95457741218024,0.1070212862325704,8.995451377107543,0.44355750842632774,10.104193737339608,0.39488553997684434
6,20.0,0.2,1000.0,17.995708513172037,0.2229975742185727,35.94829985625148,0.11135094636617987,10.26237103550223,0.3910402368143969,11.43015316692002,0.3510889085558376
7,20.0,0.2,10000.0,19.05103457387459,0.20914873256765867,685.9547729421575,0.005810863945309996,11.242592830717335,0.35441112739700353,12.264070134645475,0.3248921407212078
8,20.0,0.3,10.0,11.77718152406505,0.5349332380206735,11.777191805121475,0.5349322253699003,10.033384991610257,0.6279037438778589,12.651748519663808,0.4979548866473524
9,20.0,0.3,100.0,13.114019185988717,0.457525395694516,13.061005489293791,0.46072027609517635,11.917493499511563,0.5034615710296724,14.029472028574265,0.42767111889739057
10,20.0,0.3,1000.0,20.23405113307177,0.2963321415886153,19.64469602698773,0.3062819531542383,13.350151666817379,0.44913347425883005,15.290140069951503,0.392148140734398
11,20.0,0.3,10000.0,19.32450373900869,0.3095034382816234,19.31201711216039,0.31040398209224174,14.26894043453663,0.41916216746714785,16.024324365258725,0.37324506566822935
12,20.0,0.5,10.0,17.52873943973398,0.5933110809142023,17.543846044475572,0.5919078667740941,15.023660773368713,0.6922414022044001,19.72413351859528,0.5272728452276605
13,20.0,0.5,100.0,16.840846819886643,0.5955759308854522,24.741777554582143,0.39392191528149884,15.888240173613445,0.6312845154907353,19.41422029929834,0.5166316156597079
14,20.0,0.5,1000.0,20.415657706318825,0.4892814937710106,81.22491212370358,0.1212178733492626,17.361677220655203,0.5753476391161149,20.56469731401768,0.4857353282409423
15,20.0,0.5,10000.0,19.67888193646374,0.5068936078403083,19.893753108092028,0.49848522562147124,18.18983136657299,0.548388811252588,20.87357218624588,0.4778817880809516
16,20.0,0.7,10.0,16.000022727406787,0.856290090127851,16.016634522275638,0.8560533779148308,16.326340312615947,0.8391347808310426,21.580836707738246,0.634822467058823
17,20.0,0.7,100.0,18.00000286530881,0.7779106849288873,18.005811429371306,0.7768947509469282,17.811346647711865,0.7860158064914485,22.14775365182047,0.6321182825170736
18,20.0,0.7,1000.0,20.062879612744165,0.6980055400981278,20.187216608334097,0.6958826789966023,20.0074117904836,0.6999406093426294,24.240923839236977,0.5777007548422213
19,20.0,0.7,10000.0,20.000030144812087,0.7009420007783824,20.365191406516544,0.6876921348472375,19.976720750521118,0.7017668302558766,23.172131050006165,0.6049939891046953
20,20.0,0.8,10.0,17.000035652310224,0.9176755046333858,17.00141700701039,0.9150304830321069,17.80457317350793,0.8761793864967123,24.32398566453722,0.6413422625365127
21,20.0,0.8,100.0,19.000044663951293,0.842694051581234,19.003872739615417,0.8418486413757663,18.752534417320334,0.8537512660268868,23.14775365182047,0.691643787160353
22,20.0,0.8,1000.0,20.000004277560155,0.7997037641420477,20.00308912366512,0.7983245084016639,19.939989994125526,0.8017556681176817,23.900081982224425,0.6689098393842439
23,20.0,0.8,10000.0,20.00000057781778,0.8007895953364328,116.48031553832476,0.13565473469183642,19.98109738604581,0.8015325530210736,23.172131050006165,0.691153522541283
24,20.0,0.9,10.0,19.000004753701464,0.9264065534709564,19.003497983474915,0.9249011128937291,18.915031079134447,0.9304769273900331,25.013299941512546,0.7036256727882076
25,20.0,0.9,100.0,20.000000321568418,0.9017666382557703,20.009544682859314,0.9016679401940008,19.405964305700806,0.9285804980433949,24.14775365182047,0.7462391848047321
26,20.0,0.9,1000.0,20.000000963072864,0.9009092795658192,20.011539725389298,0.9021381538003008,19.979850694525155,0.9018085407884086,23.900081982224425,0.753888627386333
27,20.0,0.9,10000.0,20.000000216585672,0.9007953974343227,20.010804737985723,0.9000594174269836,19.959350240798294,0.9026245735782749,23.172131050006165,0.7774770460740686
28,50.0,0.1,10.0,18.69661367733844,0.2834739210718905,20.735225085069356,0.2556036671902517,10.319010756139155,0.5136151250590408,13.055608351205763,0.40595580515484087
29,50.0,0.1,100.0,15.455963599141015,0.31961766639158595,15.939440898782266,0.31155378304359577,11.142886381202926,0.44333217005006426,13.029472028574265,0.37914045858238465
30,50.0,0.1,1000.0,49.385369379864116,0.10085982529684312,32.4619504459759,0.1535899767093063,12.527222698012539,0.3976140697802269,14.290140069951503,0.3485620137813599
31,50.0,0.1,10000.0,43.86659228311074,0.11342800187793306,59.49494239340942,0.08387130620650685,14.45512944287849,0.34421691065875193,16.2988870192897,0.30527851344151713
32,50.0,0.2,10.0,23.644278589190048,0.4398527870395109,29.04604626844406,0.35299598515551417,16.52924047139378,0.6291880148999399,22.013299941512546,0.47244166152425626
33,50.0,0.2,100.0,25.459530896689618,0.39278014280799234,25.20528025372988,0.3965758467224538,18.45994317435302,0.5417134768807585,23.283885805752522,0.4294815772343892
34,50.0,0.2,1000.0,49.59365869318505,0.20163868177275185,51.054529750172264,0.19559117423696376,20.017778640496097,0.49955592873676474,24.650255973685617,0.4056753005191952
35,50.0,0.2,10000.0,48.55646605493971,0.20550918017159617,49.21198940891588,0.20310701776424828,21.89228986942093,0.4558134420620088,26.085105110398143,0.382547816379019
36,50.0,0.3,10.0,30.565018643156698,0.5136589724105342,30.476539003355185,0.5165038223399583,22.8644666205401,0.6866549856840324,31.542426428392375,0.4977423038662591
37,50.0,0.3,100.0,30.317044601972434,0.49609058372952675,30.853622026794483,0.4886746982798463,24.548455651102717,0.6126658317638162,31.648085726222202,0.47522621526326697
38,50.0,0.3,1000.0,49.21894570702345,0.3048216351735634,80.10532276535139,0.18719294237642548,26.41770701284291,0.567914542799128,33.63011756520389,0.4461179765700008
39,50.0,0.3,10000.0,48.52572530780655,0.30840752710565716,109.97752757442964,0.1350945914058228,29.137492558959064,0.5136234687908454,36.22373114404346,0.41314628635269457
40,50.0,0.5,10.0,38.39767016953196,0.6667070792092683,38.932568844126195,0.6563243817102459,33.12812367669781,0.772757317916165,46.976338375383776,0.5449552026688981
41,50.0,0.5,100.0,39.49279814907911,0.6342930040405046,39.31497411952222,0.6398868896461499,34.89374983504373,0.7178936089821545,46.60182827353586,0.5375325588722737
42,50.0,0.5,1000.0,50.023075520257215,0.49966939423878487,168.0830357702293,0.14972098240062914,37.81844434242977,0.6609208928236447,50.160479310927265,0.498300661065552
43,50.0,0.5,10000.0,49.28658802541515,0.5065942146766682,48.67538874616059,0.5125156153398653,39.42109162559042,0.6333741398422282,50.327198534151115,0.496119409131366
44,50.0,0.7,10.0,40.20841374062346,0.8530550652293085,40.2568351802791,0.8519688411170281,40.773336742966436,0.841236031679867,62.15533634087281,0.5518432047715365
45,50.0,0.7,100.0,43.657436418155854,0.8007797621702035,43.675354771648585,0.7994685738621764,42.776692871187954,0.8172674803373392,58.00755693255715,0.6026800963303189
46,50.0,0.7,1000.0,49.886665760300986,0.7015302189848783,49.27800685198497,0.7103358053325101,47.015960376967975,0.744364248212703,62.19934801972001,0.5626586309056546
47,50.0,0.7,10000.0,49.912352858290156,0.7019164027409299,367.4311257985733,0.09509110883578747,47.00861439319774,0.7452740407738874,60.64864530587739,0.5776600585768544
48,50.0,0.8,10.0,43.567727008144104,0.9089299676287537,43.68343793582534,0.9069962006899639,45.50159602246865,0.8702991424838276,68.08945545349584,0.5815878499284849
49,50.0,0.8,100.0,46.67806549246606,0.8569336117543875,46.57679926619517,0.8595306116946811,46.42501936406685,0.8616043794471772,62.86821634932727,0.6362515484412662
50,50.0,0.8,1000.0,50.06515817906506,0.7989586620403436,50.533278994297575,0.7922418396292477,49.4079244570547,0.8095867300551746,65.19934801972002,0.6135030673604543
51,50.0,0.8,10000.0,50.00821241249232,0.8002923101498585,50.00758994161379,0.800745869109947,49.390740045702366,0.8102976380383748,63.25843523121893,0.6326618711594209
52,50.0,0.9,10.0,47.13059456240593,0.948428759127407,47.076255734485926,0.9500346181887248,49.13370858902829,0.9097623868348024,71.22239360725865,0.6276115942759384
53,50.0,0.9,100.0,49.00001413190968,0.9196231236526251,145.00792131511395,0.308512380175107,48.23615177403095,0.9341541218107514,64.57848973691898,0.6977555558138049
54,50.0,0.9,1000.0,50.00005807777917,0.9003810229605935,50.00274915795114,0.9000703897567561,49.993135041741034,0.9005036383977929,65.38060228703208,0.688568144452981
55,50.0,0.9,10000.0,50.000004765256584,0.9004847163019448,50.040500910216,0.8990062276225966,49.92807317267613,0.9017832481594784,63.86948526298758,0.7049422711739249
56,100.0,0.1,10.0,31.586416179781793,0.33242134374889315,34.09891314677202,0.30569857381979715,17.769350327590534,0.5909051150675223,24.32398566453722,0.43167267670726817
57,100.0,0.1,100.0,28.33172288542584,0.35225521999843,31.195669935530532,0.3212234877473305,18.59621316111625,0.5366684019770047,23.67039085345742,0.4216237941226167
58,100.0,0.1,1000.0,94.88416350777288,0.1054443631508098,89.26394113689827,0.11214252828352994,21.198754021275445,0.4719617006715964,26.37783844759472,0.3792956735206752
59,100.0,0.1,10000.0,88.77429290647254,0.11237487329673344,94.10472333001093,0.10607094971181769,24.05978096465188,0.41463386614601894,29.10226646518924,0.34279117098775874
60,100.0,0.2,10.0,46.41697525355045,0.44811187514554685,47.41568683223096,0.4396676000556863,30.62946772437896,0.6790846052948097,43.976338375383776,0.47298162531064714
61,100.0,0.2,100.0,46.07966257377597,0.4338138791985386,44.4576938898511,0.4507715897382613,32.319082188492054,0.6185200397527963,43.60182827353586,0.458467013690179
62,100.0,0.2,1000.0,96.70286994924567,0.2069535193320327,96.66135106234111,0.20702855253631858,35.39198082818042,0.5654670784649867,47.160479310927265,0.42435955470373926
63,100.0,0.2,10000.0,95.3280975015196,0.20934646107347146,142.14835364822733,0.14105735980689615,38.12847953351071,0.523404034049151,49.095542765260376,0.4064849653545563
64,100.0,0.3,10.0,58.060654334072915,0.533924301171199,126.84490017196492,0.24362852835786775,42.503683316079034,0.7293485547939037,62.36030809321559,0.4971110783106058
65,100.0,0.3,100.0,58.424225417935126,0.5146837431721826,168.995335666274,0.17674336152602316,44.12283304189202,0.681506556286862,61.03330524949395,0.49268182145926503
66,100.0,0.3,1000.0,100.03278201157238,0.2999216789955348,110.6680154770956,0.2713801708106742,48.46463212841885,0.619049370281041,67.02869858831161,0.44759932136339753
